"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Читай-город","0","Positive Test: Оформление заказа","1","0","","0"
"1","Читай-город","0","Negative Test: Оформление заказа","0","2","","0"
